rater_id,brief_id,confidence_rationale_on,confidence_rationale_off,collaboration_rationale_on,collaboration_rationale_off,combined_rationale_on,combined_rationale_off,delta_combined,rationale_condition
rater_03,brief-057,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-085,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-035,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-078,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_03,brief-107,8,6,8,6,8,6,2,visible_vs_hidden
rater_03,brief-060,8,6,8,6,8,6,2,visible_vs_hidden
rater_03,brief-110,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_03,brief-086,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-129,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-084,8,7,7,6,7.5,6.5,1,visible_vs_hidden
rater_03,brief-009,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-128,8,6,8,6,8,6,2,visible_vs_hidden
rater_03,brief-132,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-007,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-067,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-040,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-071,8,6,8,7,8,6.5,1.5,visible_vs_hidden
rater_03,brief-094,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-028,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_03,brief-074,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-082,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-013,8,6,8,6,8,6,2,visible_vs_hidden
rater_03,brief-032,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-149,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_03,brief-089,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-004,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_03,brief-063,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-147,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_03,brief-131,8,7,8,6,8,6.5,1.5,visible_vs_hidden
rater_03,brief-104,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_03,brief-121,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_03,brief-114,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-044,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-096,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-031,8,7,8,6,8,6.5,1.5,visible_vs_hidden
rater_03,brief-145,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-135,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-136,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_03,brief-092,8,6,8,6,8,6,2,visible_vs_hidden
rater_03,brief-141,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-072,8,6,8,6,8,6,2,visible_vs_hidden
rater_03,brief-030,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-140,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-109,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-021,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-120,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_03,brief-150,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-020,8,7,7,6,7.5,6.5,1,visible_vs_hidden
rater_03,brief-001,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_03,brief-026,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-087,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-112,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-081,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-125,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-054,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-148,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_03,brief-042,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-118,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_03,brief-003,8,6,7,6,7.5,6,1.5,visible_vs_hidden
