rater_id,brief_id,confidence_rationale_on,confidence_rationale_off,collaboration_rationale_on,collaboration_rationale_off,combined_rationale_on,combined_rationale_off,delta_combined,rationale_condition
rater_01,brief-054,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-122,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-149,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-124,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-046,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-029,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-130,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-137,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-093,8,7,7,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-147,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-085,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-044,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-114,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-002,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-027,8,7,7,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-055,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-036,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-105,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-104,8,6,8,7,8,6.5,1.5,visible_vs_hidden
rater_01,brief-069,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-045,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-087,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-132,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-022,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-109,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-031,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-017,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-009,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-080,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-096,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-139,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-047,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-066,8,7,7,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-008,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-078,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-140,8,7,7,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-138,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-065,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-021,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-012,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-086,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-098,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-004,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-059,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-050,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-041,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-011,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-111,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-064,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-090,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-079,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-123,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-131,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-003,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-102,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-034,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-038,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-115,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-010,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-037,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-073,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-025,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-113,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-119,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-026,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-056,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-039,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-107,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-100,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-076,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-057,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-145,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-135,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-058,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-074,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-089,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-068,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-061,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-084,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-136,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-121,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-033,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-112,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-103,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-077,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-148,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-028,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-125,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-052,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-116,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-072,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-005,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-014,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-144,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-007,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-081,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-001,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-091,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-094,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-006,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-118,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-024,8,7,8,6,8,6.5,1.5,visible_vs_hidden
rater_01,brief-032,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-049,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-070,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-101,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_01,brief-042,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-146,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-126,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-127,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_01,brief-141,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-023,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-108,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-092,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_01,brief-099,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-120,8,6,8,6,8,6,2,visible_vs_hidden
rater_01,brief-128,7,6,8,6,7.5,6,1.5,visible_vs_hidden
