rater_id,pair_id,brief_id,industry,comparison_type,preferred_output,premium_quality_A,premium_quality_B,business_alignment_A,business_alignment_B,distinctness_A,distinctness_B,confidence_collaboration_A,confidence_collaboration_B,time_to_acceptable_A_min,time_to_acceptable_B_min,evaluation_type
rater_01,brief-148::pair_ai_cdo_vs_sft,brief-148,government,AI-CDO_vs_SFT,A,10,5,10,6,10,6,9,7,11,21,blind_comparison
rater_01,brief-010::pair_sft_vs_baseline,brief-010,consumer,SFT_vs_Baseline,A,8,6,7,5,7,7,7,7,12,19,blind_comparison
rater_01,brief-038::pair_sft_vs_baseline,brief-038,fintech,SFT_vs_Baseline,Tie,8,7,8,5,8,6,7,6,16,20,blind_comparison
rater_01,brief-097::pair_ai_cdo_vs_baseline,brief-097,media,AI-CDO_vs_Baseline,Tie,8,7,7,7,9,5,9,7,9,23,blind_comparison
rater_01,brief-018::pair_sft_vs_baseline,brief-018,manufacturing,SFT_vs_Baseline,A,7,6,8,7,7,5,6,6,13,21,blind_comparison
rater_01,brief-072::pair_sft_vs_baseline,brief-072,consumer,SFT_vs_Baseline,A,7,7,8,5,8,6,7,5,13,17,blind_comparison
rater_01,brief-144::pair_sft_vs_baseline,brief-144,saas,SFT_vs_Baseline,A,7,5,8,6,8,5,6,7,15,22,blind_comparison
rater_01,brief-132::pair_ai_cdo_vs_baseline,brief-132,ecommerce,AI-CDO_vs_Baseline,Tie,8,8,7,8,9,5,8,6,10,19,blind_comparison
rater_01,brief-085::pair_ai_cdo_vs_baseline,brief-085,fintech,AI-CDO_vs_Baseline,Tie,8,8,8,8,9,7,9,6,10,28,blind_comparison
rater_01,brief-042::pair_ai_cdo_vs_baseline,brief-042,consumer,AI-CDO_vs_Baseline,A,9,5,9,7,10,5,8,5,10,19,blind_comparison
rater_01,brief-082::pair_sft_vs_baseline,brief-082,healthcare,SFT_vs_Baseline,B,7,5,7,6,7,5,6,5,14,22,blind_comparison
rater_01,brief-132::pair_sft_vs_baseline,brief-132,consumer,SFT_vs_Baseline,B,7,5,7,7,8,7,7,5,16,22,blind_comparison
rater_01,brief-097::pair_sft_vs_baseline,brief-097,nonprofit,SFT_vs_Baseline,Tie,8,7,8,5,7,7,8,5,16,17,blind_comparison
rater_01,brief-073::pair_ai_cdo_vs_sft,brief-073,ecommerce,AI-CDO_vs_SFT,A,10,5,10,5,10,7,9,6,10,21,blind_comparison
rater_01,brief-044::pair_ai_cdo_vs_sft,brief-044,edtech,AI-CDO_vs_SFT,A,9,7,9,5,10,6,10,6,10,20,blind_comparison
rater_01,brief-011::pair_ai_cdo_vs_sft,brief-011,manufacturing,AI-CDO_vs_SFT,A,9,6,10,6,9,6,10,7,12,22,blind_comparison
rater_01,brief-024::pair_ai_cdo_vs_baseline,brief-024,media,AI-CDO_vs_Baseline,A,8,5,10,5,10,6,9,6,9,22,blind_comparison
rater_01,brief-030::pair_ai_cdo_vs_sft,brief-030,proptech,AI-CDO_vs_SFT,A,10,7,9,7,10,6,10,5,10,26,blind_comparison
rater_01,brief-148::pair_ai_cdo_vs_baseline,brief-148,media,AI-CDO_vs_Baseline,Tie,7,7,7,8,10,6,8,5,9,26,blind_comparison
rater_01,brief-122::pair_sft_vs_baseline,brief-122,edtech,SFT_vs_Baseline,A,7,7,7,5,8,5,8,6,14,16,blind_comparison
rater_01,brief-128::pair_ai_cdo_vs_sft,brief-128,manufacturing,AI-CDO_vs_SFT,A,9,6,9,5,10,5,8,7,8,19,blind_comparison
rater_01,brief-044::pair_sft_vs_baseline,brief-044,media,SFT_vs_Baseline,B,8,5,7,5,8,6,7,6,16,20,blind_comparison
rater_01,brief-049::pair_sft_vs_baseline,brief-049,ecommerce,SFT_vs_Baseline,A,7,5,7,6,7,6,8,7,13,18,blind_comparison
rater_01,brief-013::pair_sft_vs_baseline,brief-013,proptech,SFT_vs_Baseline,Tie,8,7,8,5,7,5,6,6,12,19,blind_comparison
rater_01,brief-084::pair_ai_cdo_vs_baseline,brief-084,fintech,AI-CDO_vs_Baseline,A,8,5,10,7,10,5,8,7,11,27,blind_comparison
rater_01,brief-075::pair_ai_cdo_vs_sft,brief-075,government,AI-CDO_vs_SFT,A,9,5,9,5,10,5,9,5,12,20,blind_comparison
rater_01,brief-051::pair_ai_cdo_vs_sft,brief-051,government,AI-CDO_vs_SFT,A,10,6,10,5,9,6,8,7,10,23,blind_comparison
rater_01,brief-022::pair_ai_cdo_vs_sft,brief-022,fintech,AI-CDO_vs_SFT,A,10,6,9,6,9,6,9,6,11,22,blind_comparison
rater_01,brief-113::pair_ai_cdo_vs_baseline,brief-113,nonprofit,AI-CDO_vs_Baseline,A,9,5,9,5,8,5,8,6,13,20,blind_comparison
rater_01,brief-002::pair_sft_vs_baseline,brief-002,healthcare,SFT_vs_Baseline,Tie,7,6,8,7,8,5,8,7,12,20,blind_comparison
rater_01,brief-002::pair_ai_cdo_vs_baseline,brief-002,ecommerce,AI-CDO_vs_Baseline,A,8,7,9,7,8,6,8,5,12,28,blind_comparison
rater_01,brief-100::pair_sft_vs_baseline,brief-100,ecommerce,SFT_vs_Baseline,A,8,5,7,7,8,7,7,6,16,18,blind_comparison
rater_01,brief-081::pair_ai_cdo_vs_sft,brief-081,proptech,AI-CDO_vs_SFT,A,9,5,10,5,9,7,8,7,12,19,blind_comparison
rater_01,brief-092::pair_sft_vs_baseline,brief-092,manufacturing,SFT_vs_Baseline,B,7,6,7,6,7,5,6,7,14,19,blind_comparison
rater_01,brief-115::pair_ai_cdo_vs_baseline,brief-115,manufacturing,AI-CDO_vs_Baseline,A,8,5,9,6,10,6,8,6,13,22,blind_comparison
rater_01,brief-090::pair_ai_cdo_vs_baseline,brief-090,fintech,AI-CDO_vs_Baseline,A,8,5,9,6,9,6,9,6,11,25,blind_comparison
rater_01,brief-110::pair_ai_cdo_vs_sft,brief-110,ecommerce,AI-CDO_vs_SFT,A,9,6,10,6,9,6,10,5,10,18,blind_comparison
rater_01,brief-088::pair_ai_cdo_vs_sft,brief-088,healthcare,AI-CDO_vs_SFT,A,10,5,10,6,9,6,8,5,9,26,blind_comparison
rater_01,brief-098::pair_ai_cdo_vs_baseline,brief-098,legal,AI-CDO_vs_Baseline,A,9,7,10,5,10,5,8,7,12,24,blind_comparison
rater_01,brief-082::pair_ai_cdo_vs_baseline,brief-082,government,AI-CDO_vs_Baseline,A,9,5,9,5,9,6,9,5,11,21,blind_comparison
rater_01,brief-094::pair_ai_cdo_vs_sft,brief-094,media,AI-CDO_vs_SFT,A,9,5,10,5,9,7,10,5,11,20,blind_comparison
rater_01,brief-022::pair_ai_cdo_vs_baseline,brief-022,ecommerce,AI-CDO_vs_Baseline,A,10,6,9,7,9,5,8,7,10,21,blind_comparison
rater_01,brief-051::pair_sft_vs_baseline,brief-051,edtech,SFT_vs_Baseline,A,7,7,7,7,8,7,8,7,15,19,blind_comparison
rater_01,brief-065::pair_ai_cdo_vs_baseline,brief-065,consumer,AI-CDO_vs_Baseline,A,10,6,9,6,10,6,9,5,9,22,blind_comparison
rater_01,brief-147::pair_ai_cdo_vs_sft,brief-147,manufacturing,AI-CDO_vs_SFT,A,9,5,9,7,10,6,8,6,9,21,blind_comparison
