rater_id,pair_id,brief_id,industry,comparison_type,preferred_output,premium_quality_A,premium_quality_B,business_alignment_A,business_alignment_B,distinctness_A,distinctness_B,confidence_collaboration_A,confidence_collaboration_B,time_to_acceptable_A_min,time_to_acceptable_B_min,evaluation_type
rater_03,brief-098::pair_ai_cdo_vs_baseline,brief-098,fintech,AI-CDO_vs_Baseline,Tie,7,7,8,8,9,5,9,6,12,26,blind_comparison
rater_03,brief-067::pair_sft_vs_baseline,brief-067,proptech,SFT_vs_Baseline,Tie,8,5,7,6,8,5,8,6,16,20,blind_comparison
rater_03,brief-133::pair_ai_cdo_vs_baseline,brief-133,nonprofit,AI-CDO_vs_Baseline,A,8,6,10,7,8,5,8,7,12,25,blind_comparison
rater_03,brief-149::pair_ai_cdo_vs_baseline,brief-149,nonprofit,AI-CDO_vs_Baseline,Tie,7,7,7,7,10,7,8,6,11,18,blind_comparison
rater_03,brief-001::pair_ai_cdo_vs_baseline,brief-001,manufacturing,AI-CDO_vs_Baseline,A,10,7,9,5,10,7,8,6,13,19,blind_comparison
rater_03,brief-071::pair_sft_vs_baseline,brief-071,manufacturing,SFT_vs_Baseline,A,8,6,7,7,8,5,6,7,12,16,blind_comparison
rater_03,brief-136::pair_sft_vs_baseline,brief-136,legal,SFT_vs_Baseline,B,7,5,7,5,7,6,6,6,15,20,blind_comparison
rater_03,brief-133::pair_sft_vs_baseline,brief-133,edtech,SFT_vs_Baseline,B,7,7,8,5,7,6,6,5,16,20,blind_comparison
rater_03,brief-050::pair_ai_cdo_vs_sft,brief-050,government,AI-CDO_vs_SFT,A,9,6,10,6,10,5,10,5,10,26,blind_comparison
rater_03,brief-059::pair_ai_cdo_vs_sft,brief-059,nonprofit,AI-CDO_vs_SFT,A,9,6,9,7,10,5,10,6,8,19,blind_comparison
rater_03,brief-086::pair_ai_cdo_vs_baseline,brief-086,proptech,AI-CDO_vs_Baseline,A,9,6,9,6,10,5,9,6,9,20,blind_comparison
rater_03,brief-066::pair_ai_cdo_vs_baseline,brief-066,edtech,AI-CDO_vs_Baseline,A,10,7,10,5,10,6,9,5,10,20,blind_comparison
rater_03,brief-060::pair_ai_cdo_vs_sft,brief-060,proptech,AI-CDO_vs_SFT,A,10,6,9,6,10,6,8,6,12,19,blind_comparison
rater_03,brief-027::pair_sft_vs_baseline,brief-027,manufacturing,SFT_vs_Baseline,A,8,6,8,7,8,6,6,5,12,22,blind_comparison
rater_03,brief-132::pair_ai_cdo_vs_baseline,brief-132,healthcare,AI-CDO_vs_Baseline,A,9,6,9,7,8,7,8,6,12,21,blind_comparison
rater_03,brief-118::pair_sft_vs_baseline,brief-118,legal,SFT_vs_Baseline,A,8,5,8,7,8,6,7,7,13,21,blind_comparison
rater_03,brief-031::pair_ai_cdo_vs_baseline,brief-031,edtech,AI-CDO_vs_Baseline,A,9,7,10,6,10,6,9,5,10,25,blind_comparison
rater_03,brief-129::pair_ai_cdo_vs_sft,brief-129,media,AI-CDO_vs_SFT,A,10,7,9,5,9,6,8,6,9,20,blind_comparison
rater_03,brief-070::pair_sft_vs_baseline,brief-070,healthcare,SFT_vs_Baseline,A,8,7,8,7,8,5,6,5,12,19,blind_comparison
rater_03,brief-144::pair_ai_cdo_vs_baseline,brief-144,government,AI-CDO_vs_Baseline,A,9,5,10,7,9,6,8,6,13,20,blind_comparison
rater_03,brief-078::pair_ai_cdo_vs_sft,brief-078,consumer,AI-CDO_vs_SFT,A,9,6,10,7,10,6,10,7,10,21,blind_comparison
rater_03,brief-068::pair_sft_vs_baseline,brief-068,healthcare,SFT_vs_Baseline,B,7,6,8,6,8,7,6,5,16,16,blind_comparison
rater_03,brief-047::pair_ai_cdo_vs_baseline,brief-047,manufacturing,AI-CDO_vs_Baseline,Tie,7,7,8,7,8,5,8,6,9,26,blind_comparison
rater_03,brief-033::pair_ai_cdo_vs_sft,brief-033,edtech,AI-CDO_vs_SFT,A,10,7,9,5,10,7,9,5,10,18,blind_comparison
rater_03,brief-058::pair_ai_cdo_vs_sft,brief-058,ecommerce,AI-CDO_vs_SFT,A,10,5,10,7,10,7,8,7,8,20,blind_comparison
rater_03,brief-137::pair_ai_cdo_vs_baseline,brief-137,legal,AI-CDO_vs_Baseline,A,8,7,10,6,10,5,9,6,13,24,blind_comparison
rater_03,brief-150::pair_ai_cdo_vs_sft,brief-150,consumer,AI-CDO_vs_SFT,A,10,6,9,7,10,5,9,7,9,23,blind_comparison
rater_03,brief-018::pair_sft_vs_baseline,brief-018,media,SFT_vs_Baseline,B,8,5,8,5,7,6,6,5,15,19,blind_comparison
rater_03,brief-071::pair_ai_cdo_vs_sft,brief-071,fintech,AI-CDO_vs_SFT,A,10,5,9,6,10,5,10,6,10,23,blind_comparison
rater_03,brief-111::pair_ai_cdo_vs_baseline,brief-111,saas,AI-CDO_vs_Baseline,A,8,6,10,5,10,5,9,7,13,28,blind_comparison
rater_03,brief-147::pair_ai_cdo_vs_baseline,brief-147,nonprofit,AI-CDO_vs_Baseline,A,9,6,10,5,8,7,9,6,13,20,blind_comparison
rater_03,brief-056::pair_ai_cdo_vs_baseline,brief-056,legal,AI-CDO_vs_Baseline,Tie,7,7,8,8,9,6,9,6,12,27,blind_comparison
rater_03,brief-006::pair_ai_cdo_vs_sft,brief-006,legal,AI-CDO_vs_SFT,A,10,5,9,7,9,5,10,5,10,19,blind_comparison
rater_03,brief-135::pair_ai_cdo_vs_sft,brief-135,media,AI-CDO_vs_SFT,A,10,6,9,6,10,7,10,7,12,23,blind_comparison
rater_03,brief-091::pair_ai_cdo_vs_baseline,brief-091,media,AI-CDO_vs_Baseline,A,8,7,9,7,8,7,9,6,13,22,blind_comparison
rater_03,brief-056::pair_ai_cdo_vs_sft,brief-056,legal,AI-CDO_vs_SFT,A,10,7,9,5,10,7,10,7,8,26,blind_comparison
rater_03,brief-007::pair_sft_vs_baseline,brief-007,government,SFT_vs_Baseline,Tie,8,6,7,5,7,5,6,7,16,22,blind_comparison
rater_03,brief-099::pair_ai_cdo_vs_baseline,brief-099,healthcare,AI-CDO_vs_Baseline,Tie,8,7,8,8,10,6,9,5,10,20,blind_comparison
rater_03,brief-063::pair_ai_cdo_vs_baseline,brief-063,media,AI-CDO_vs_Baseline,A,9,6,10,6,8,7,8,7,11,28,blind_comparison
rater_03,brief-038::pair_ai_cdo_vs_baseline,brief-038,ecommerce,AI-CDO_vs_Baseline,A,10,6,10,7,9,6,9,5,11,23,blind_comparison
rater_03,brief-117::pair_ai_cdo_vs_sft,brief-117,nonprofit,AI-CDO_vs_SFT,A,10,7,9,5,9,7,9,5,12,21,blind_comparison
rater_03,brief-069::pair_sft_vs_baseline,brief-069,nonprofit,SFT_vs_Baseline,Tie,8,5,8,7,7,7,6,5,16,20,blind_comparison
rater_03,brief-041::pair_ai_cdo_vs_baseline,brief-041,edtech,AI-CDO_vs_Baseline,Tie,7,8,7,8,9,7,8,5,12,19,blind_comparison
rater_03,brief-100::pair_sft_vs_baseline,brief-100,media,SFT_vs_Baseline,A,7,5,8,7,8,7,6,6,15,19,blind_comparison
rater_03,brief-070::pair_ai_cdo_vs_baseline,brief-070,consumer,AI-CDO_vs_Baseline,A,9,7,10,6,10,7,8,7,9,21,blind_comparison
rater_03,brief-126::pair_ai_cdo_vs_sft,brief-126,ecommerce,AI-CDO_vs_SFT,A,9,5,9,6,10,7,10,7,9,19,blind_comparison
rater_03,brief-061::pair_sft_vs_baseline,brief-061,nonprofit,SFT_vs_Baseline,A,7,6,7,5,8,6,8,5,12,17,blind_comparison
rater_03,brief-012::pair_ai_cdo_vs_sft,brief-012,manufacturing,AI-CDO_vs_SFT,A,9,5,10,6,9,7,10,7,8,20,blind_comparison
